,longitude,latitude,address
2361,-79.373506,43.667001,179 Bleecker Street
2362,-79.388412,43.649038,30 Nelson Street
2363,-79.387794,43.671623,1 YORKVILLE Avenue
2364,-79.388916,43.655156,488 University
2365,-79.479238,43.624007,33 Shore Breeze Drive
2366,-79.390435,43.673338,88 Davenport Road
2367,-79.385343,43.664567,11 Wellesley Street West
2368,-79.383113,43.71031,1 Cardiff Road East
2369,-79.413861,43.765046,151 Beecroft Road
2370,-79.53534,43.592796,41 Marina
2371,-79.467962,43.635806,1928 Lake Shore Boulevard West
2372,-79.386246,43.670159,1 Bloor Street East
2373,-79.420751,43.802567,7161 Yonge Street
2374,-79.385343,43.664567,11 Wellesley Street West
2375,-79.402296,43.724434,3018 Yonge Street
2376,-79.37696,43.651652,20 Lombard Street
2377,-79.499959,43.710042,117 Maple Leaf Drive
2378,-79.487302,43.647569,2511 Bloor Street West
2379,-79.551447,43.587027,1070 Deta Road
2380,-79.385607,43.659398,736 Bay Street
2381,-79.41545,43.783722,5785 Yonge Street
2382,-79.496862,43.634195,3 Minstrel Drive
2383,-79.355178,43.652043,180 Mill Street
2384,-79.384996,43.659667,761 Bay Street
2385,-79.433767,43.645847,131 Brock
2386,-79.40337,43.725071,36 Lawrence West
2387,-79.451256,43.763397,16 Pannahill Road
2388,-79.522536,43.637475,17 Chauncey
2389,-79.388658,43.672712,8 Scollard Street
2390,-79.397399,43.673588,19 Bernard
2391,-79.423245,43.641888,36 Lisgar Street
2392,-79.395427,43.658514,203 College Street
2393,-79.397765,43.649383,33 Cameron
2394,-79.396465,43.675091,179 Avenue Road
2395,-79.433767,43.645847,131 Brock
2396,-79.374133,43.643831,28 Freeland Street
2397,-79.399149,43.757092,54 Fairmeadow
2398,-79.448268,43.666698,1420 Dupont Street
2399,-79.397113,43.70437,5 Soudan
2400,-79.431758,43.680749,840 St Clair West
2401,-79.388726,43.674574,942 Yonge Street
2402,-79.397282,43.708017,39 Roehampton
2403,-79.389852,43.647439,99 John Street
2404,-79.327724,43.711803,135 Leeward Glenway
2405,-79.330987,43.670897,6 Prust
2406,-79.549271,43.678009,29 Dryden Way
2407,-79.382538,43.665596,50 Wellesley Street East
2408,-79.552488,43.717667,39 Ringway Crescent
2409,-79.407654,43.760124,17 Anndale Drive
2410,-79.49901,43.72263,1383 Wilson
2411,-79.250467,43.75053,41 Fraserton Crescent
2412,-79.54689,43.639816,4 Charleston Road
2413,-79.384691,43.671302,8 Park Road
2414,-79.38107,43.767204,12 Dervock Crescent
2415,-79.378145,43.648858,1 King Street West
2416,-79.413704,43.696596,103 Dunloe Road
2417,-79.439198,43.651646,176 Saint Clarens Avenue
2418,-79.382148,43.65053,70 Temperance Street
2419,-79.37513,43.646825,1 Scott Street
2420,-79.399849,43.637558,19 Bathurst Street
2421,-79.379333,43.662238,403 Church Street
2422,-79.437057,43.743771,17 Laurelcrest
2423,-79.53534,43.592796,41 Marina
2424,-79.489591,43.623904,251 Manitoba Street
2425,-79.349739,43.657992,90 Broadview
2426,-79.467962,43.635806,1928 Lakeshore Boulevard West
2427,-79.397282,43.708017,39 Roehampton
2428,-79.359294,43.773757,10 Bloorview Place
2429,-79.419156,43.692318,39 Burton Road
2430,-79.395391,43.711587,101 Erskine
2431,-79.363033,43.654529,50 Power Street
2432,-79.525512,43.646664,5 Mabelle
2433,-79.389105,43.650163,261 Queen Street
