,price,address,beds,baths,size
2068,8500,55 Charles Street West,2,3,
2069,3199,25 Oxley Street,2,1,
2070,2400,20 O' Neill Road - ,1,1,
2071,2500,159 Dundas Street East,1,1,
2072,2400,20 O' Neill Road - ,1,1,
2073,4500,14 York Street,3,2,
2074,3695,36 Teignmo,4,2,
2075,3300,500 Doris - ,3,2,
2076,2650,51 Lower Simcoe Street,2,1,
2077,3450,32 Davenport Road,2,2,
2078,2500,40 Mintwood Drive - ,2,2,
2079,3599,71 Simcoe Street,3,3,
2080,3000,1101 Steeles West - ,2,2,
2081,13750,36 Blue Jays Way,3,4,
2082,2480,101 Peter Street,1,1,
2083,3200,50 Bruyeres Mews,1,1,
2084,1900,40 Mintwood Drive - ,1,1,
2085,2900,25 Richmond Street East,2,1,
2086,2400,365 Church Street,2,1,
2087,5900,165 Pears,3,4,
2088,5980,76 Dinnick Crescent,4,3,
2089,1995,68 Poynter Drive -,2,1,
2090,2400,292 Kennedy Road - S,2,1,
2091,2700,251 Manitoba Street -,2,2,
2092,8000,37 Rochester,5,4,
2093,6500,608 Richmond Street,3,2,
2094,2850,1 Bloor Street East,2,1,
2095,4199,8 Hillsdale East - ,3,3,
2096,2400,99 John Street,1,1,
2097,3500,761 Bay Street,3,2,
2098,2975,28 Freeland Street,2,1,
2099,2790,3 Everson Drive - ,2,1,
2100,5590,1 Gloucester Street,3,2,
2101,13900,78 Lowther,4,3,
2102,4300,3 Minstrel Drive,4,2.5,
2103,3500,62 Poplar Avenue,3,2,2100 
2104,3500,2799 Kingston Road - S,3,3,
2105,3300,70 Roehampton,2,2,
2106,2800,29 Queens Quay East,2,2,
2107,7250,8 Charlotte Street,3,3,
2108,2830,55 Lynnhaven Road - ,2,1,
2109,2650,8 Eglinton East,2,2,
2110,4700,246 Logan,3,2,
2111,8000,34 Hillhurst Boulevard,3,3,
2112,4300,246 Logan,3,2,
2113,3500,20 Brin Drive -,2,2,
2114,2500,1121 Bay Street,1,1,
2115,2800,1928 Lake Shore Blvd West Boulevard West,2,2,
2116,3100,30 Canterbury Place - ,2,2,
2117,2650,1197 Rosel,2,1,
2118,3450,1044 Bathurst Street,2,1,
2119,2550,33 Frederick Todd Way - ,1,1,
2120,1990,27 Oakview,1,1,
2121,4950,17 Ypres Road,4,3.5,2339 
2122,2600,'Connor Drive,2,1,1 
2123,6500,10 Capreol Court,3,2,
2124,4099,17 Powerhouse Street,4,3,
2125,2090,146 Roebuck Drive - S,2,1,
2126,3350,2111 Lake Shore Boulevard West -,2,2,
2127,2450,725 Don Mills Road - ,2,1,
2128,5500,67 Dewson Street,5,2,
2129,7500,50 Bayview Wood - ,5,5,
2130,3700,570 Bay Street,2,2,
2131,2500,197 Yonge Street,2,1,
2132,3000,2285 Lake Shore Boulevard West -,2,2,
2133,3150,85 Queens Wharf Road,2,2,
2134,2700,50 Wellesley Street East,2,1,
2135,2200,570 Bay Street,0,1,
2136,3300,550 Queens Quay West Way,2,2,
2137,4100,10 Millgate Crescent - ,5,3,
2138,2800,11 Bowerbank Drive - ,3,1,
2139,4500,501 Yonge Street,3,2,
2140,2280,1606 Queen Street East,2,1,
2141,5800,19 Bathurst Street,3,2,
2142,5500,65 Burnhamthorpe Crescent South -,3,3,
2143,2700,2300 St Clair W,2,2,
2144,3250,181 Bedford Road,2,2,
2145,3100,251 Manitoba Street -,2,2,
2146,2580,155 Yorkville,2,1,
2147,4200,145 Springhurst,3,2,
2148,2650,58 Sellers,2,1,
2149,3600,5 St Joseph Street,3,2,
2150,3985,16 Winnifred,3,1,
2151,3650,832 Bay Street,3,2,
2152,6800,100 Upper Madison - ,3,3,
2153,2350,12 York Street,2,1,
2154,7500,521 Briar Hill,4,4,
2155,2900,251 Manitoba Street -,2,2,
2156,2900,38 Stewart Street,1,1,
2157,3500,251 Manitoba Street -,2,2,
2158,35000,4 Beaumont Road,5,7,
2159,3950,10 Old Mill Trail -,2,2,
2160,3300,38 Forest Manor Road - ,2,2,
2161,3150,293 Holmes - ,3,2,
2162,2000,10 Lanni Court,1,1,800 
2163,2500,2121 Lake Shore Boulevard West,1,1,
2164,5180,15 Queens Quay East,3,2,
2165,7500,5 Iceboat Terrace,4,3,
2166,6000,38 Iannuzzi Street,2,2,750 
2167,4700,85 McMahon Drive,3.5,3,1600 
2168,2600,25 The Esplanade,1,1,650 
2169,2450,35 Tubman Avenue,1.5,1,690 
2170,3250,161 Roehampton Avenue,2,2,991 
2171,2200,197 Yonge Street,0,1,400 
2172,3500,20 Edward Street,2,2,
2173,2400,11 Wellesley Street West,1,1,
2174,3650,75 St Nicholas Street,2,2,
2175,2400,576 Front Street,1,1,
2176,2300,352 Front Street,1,1,
2177,2900,158 Front Street East,2,2,
2178,4500,127 Bishop - ,5,3,
2179,2300,583 Indian Road,1,1,
2180,3400,1190 Royal York Road -,2,1,
2181,2400,188 Cumberland Street,1,1,
2182,2200,48 Walker,1,1,
2183,4000,342 Glenho,3,2,
2184,6000,65 Annie Craig Drive -,3,2,
2185,3500,158 Front Street East,3,2,
2186,2900,60 Parrotta Drive - ,2,2,
2187,2250,165 Quebec,1,1,
2188,2975,1926 Lake Shore Boulevard West,2,2,
2189,3300,85 Wood Street,3,2,
2190,2850,241 Burnett - ,3,1,
2191,2650,5 Mariner Terrace,1,1,
2192,3790,39 Roehampton,3,2,
2193,2375,160 Canon Jackson Dr,2,1,
2194,4000,85 Queens Wharf Road,3,2,
2195,2700,20 Edward Street,1,1,
2196,2600,399 Spring Garden - ,2,2,
2197,3200,237 Mcrobe,3,1,
2198,2600,251 Manitoba Street -,1,1,
2199,7900,35 Balmuto Street,3,3,
2200,5500,435 Evans -,5,2,
2201,2200,408 Brown's Line -,1,1,
2202,15000,1 Forest Hill Road,3,4,
2203,4000,18 Yorkville,2,2,
2204,3500,50 Fort York Boulevard,1,1,
2205,3000,2220 Lakeshore Boulevard West -,2,2,
2206,2900,39 Roehampton,2,2,
