,address,price,size,longitude,latitude
32,340-4750 Yonge Street,"221,800",367 sqft,-79.410957,43.760265
33,309-334 Adelaide Street W,"1,445,850",1365 sqft,-79.392487,43.647629
34,D204-69 Lebovic Avenue,"779,900",1488 sqft,-79.287979,43.723022
35,101-2900 Yonge Street,"1,449,000",1585 sqft,-79.401718,43.721012
36,240 Eglinton Avenue E,,— sqft,-79.391045,43.708508
37,2351 Kennedy Road S,"539,000",1100 sqft,-79.288559,43.784401
38,2191 Warden Avenue,"6,350,000",7800 sqft,-79.307800,43.779716
39,105-595 Sheppard Avenue E,"1,349,900",884 sqft,-79.384224,43.767345
40,L06-73 Richmond Street W,"799,900",821 sqft,-79.382324,43.650696
41,966 College Street,"2,299,000",2550 sqft,-79.427437,43.653519
42,306-1585 Markham Road,"399,000",800 sqft,-79.237732,43.792599
43,107-90 Sherbourne Street,,— sqft,-79.369232,43.652851
44,210-591 Yonge Street,"3,199,000",3453 sqft,-79.384888,43.666138
45,712-18 Wynford Drive,1,1102 sqft,-79.337311,43.723858
46,202-2100 Finch Avenue W,,— sqft,-79.525085,43.756126
47,605/606-220 Duncan Mill Road,,— sqft,-79.352814,43.762173
48,108-393 King Street W,"649,000",680 sqft,-79.393669,43.645378
49,15-70 Jutland Road,"1,149,900",1838 sqft,-79.522789,43.628353
50,14-70 Jutland Road,"1,149,900",1838 sqft,-79.522789,43.628353
51,2347 Weston Road,,— sqft,-79.530891,43.706184
52,503-220 Duncan Mill Road,"419,000",836 sqft,-79.352814,43.762173
53,320-4750 Yonge Street W,,— sqft,-79.410957,43.760265
